,Title,Employer,Location,Salary,Data Posted,Tech Stack,Description,Responsibilities,Experience,Learn More
31,"Junior Software Developer, Scala",Disney Streaming,London,Not Provided,30+ days ago,Java C AWS React,"Disney Streaming encompasses the teams leading the Disney+, Hulu, ESPN+, and Star+ streaming services within the Disney Media and Entertainment Distribution group. We sit at the intersection between entertainment, sports, and technology and seek to connect viewers with the stories they love, while driving the streaming industry forward with consumer-first innovation.
Our core mission is to deliver global audiences the freedom to access content on their terms across any connected device, time or ...",[],"['Disney+ topped 100 million active subscribers just 16 months from launching and we have aspirations for many more. Ensuring all of our millions of users have the magical experience they come to expect from Disney, when watching their favourite shows is a challenge that we relish. This means scaling, and reliability is our primary focus in everything we build.', 'Our UK teams work in small, cross-functional squads that promote Agile practices. As a backend development team, we are experienced advocates of functional programming so you can expect to join a team that is applying principles from FP, Reactive Programming and Distributed Computing to build these services, using Scala, Akka, Kafka, Play and Cats, as well a wide range of cloud-native technologies including AWS (Kinesis, DynamoDB, Lambda), Docker and Serverless.', '\nHave some experience with Scala', '\nHave experience with public cloud technologies - We use AWS', '\nExperience creating scalable and reactive web applications with modern frameworks like Akka / play etc', '\nExperience with (or a willingness to learn) the Lightbend Reactive Platform, but any JVM (Scala, Java, Clojure) or Functional Language (Haskel, Lisp, Scheme) background is great!', '\nHave experience with or an interest in ""DevOps"" tooling']",https://uk.indeed.com/viewjob?jk=486255e22b244793
32,Graduate Software Developer,Digital Waffle,Remote in London,Not Provided,16 days ago,Python Java Javascript C AWS Ruby,"Job Role: Permanent
Salary: 35k - 40k
Location: London (Remote)

A Software engineer who has recently graduated with a Computer Science or Engineering and has completed a year working within the tech industry (non-academic). Is being sought after by a well-established SaaS company in the UK, London. With the team growing they are looking for a graduate developer to join their team and work with a global customer base within a FinTech company.

The role is remote for those living in the UK.

They...","['working within the tech industry (non-academic). Is being sought after by a well-established SaaS company in the UK, London. With the team growing they are looking for a graduate developer to join their team and work with a global customer base within a FinTech company.', 'They are looking for an engineer who fits the criteria below:']","['At least one year’s experience of web development in one of the Ruby, Python, Java, C# or similar', 'Some specific experience with Ruby or Python', 'Experience in front-end web development including Javascript', 'Experience in cloud-based development on force.com, heroku.com or AWS', 'Salary between £35,000 - £40,000 depending on experience']",https://uk.indeed.com/viewjob?jk=3407ad1c50dd338c
33,Software Engineering Intern London - Summer 2022,FactSet Research Systems,London,Not Provided,30+ days ago,Java C C++,"FactSet is a unique opportunity to gain a breadth of knowledge and experience within the software and financial industries which will lead to further exciting career prospects. FactSet is a growing company where hard work and achievement are acknowledged and rewarded.


As a Software Engineering Intern, you will be working on key production systems and R&D ideas, helping to ensure FactSet’s financial information products are always available, reliable and continually searching for improvements, ...",[],"['FactSet is a unique opportunity to gain a breadth of knowledge and experience within the software and financial industries which will lead to further exciting career prospects. FactSet is a growing company where hard work and achievement are acknowledged and rewarded.\n', 'At FactSet, we celebrate diversity of thought, experience, and perspective. We are committed to disrupting bias and conducting a transparent hiring process. All qualified applicants will be considered for employment regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or veteran status.']",https://uk.indeed.com/viewjob?jk=b0649a363cab4684
34,Graduate Software Engineer - 2022 intake,Ava Security,Uxbridge UB8,Not Provided,30+ days ago,Python Java C C++ HTML CSS,"Introduction
Ava is a global technology company with offices in the UK, Norway, and the USA. We exist because we believe that we can create a better, smarter way to deliver security.
We inject intelligence into our approach to security and all our solutions. We help organisations see, understand, and act on their surroundings to protect their people, business, and reputation in real-time.
We know that the best way to meet our goals is with a diverse team, where everyone’s voice is heard. We’re p...","['We are looking for bright and enthusiastic graduates to join our R&D team in Uxbridge (West London) as we embark on our next chapter as a unified security provider. As a software engineer, you will be working on everything from research and design, to testing and delivering features, across our entire product range.\n', ""You will also have achieved excellent academic results at a recognised university or are able to demonstrate outstanding technical skills and are proficient in English. We are looking for a team player who thinks holistically, enjoys solving complex problems and thrives working autonomously, while not afraid to ask for input and learn from your teammates if you’re stuck. You should take pride in your work and want a career where your creative abilities will make a difference to the world of technology whilst being part of an impressive R&D environment. If you have experience developing software either for a University project or as a hobby and can show us on GitHub or elsewhere please let us know when you apply so we can discuss it at the interview. Does this sound like you? We'd love you to apply, even if you don't meet % of the requirements and qualifications.\n""]","['Although these are not compulsory skills, prior experience in any of the following would be an advantage:\n', 'Experience using Version Control Software such as Git as part of working in a team.\n', 'Experience developing for Machine Learning / Computer Vision\n', ""You will also have achieved excellent academic results at a recognised university or are able to demonstrate outstanding technical skills and are proficient in English. We are looking for a team player who thinks holistically, enjoys solving complex problems and thrives working autonomously, while not afraid to ask for input and learn from your teammates if you’re stuck. You should take pride in your work and want a career where your creative abilities will make a difference to the world of technology whilst being part of an impressive R&D environment. If you have experience developing software either for a University project or as a hobby and can show us on GitHub or elsewhere please let us know when you apply so we can discuss it at the interview. Does this sound like you? We'd love you to apply, even if you don't meet % of the requirements and qualifications.\n"", 'Every new graduate hire is assigned a mentor, who will be a senior member of the team. Your mentor will be responsible for overseeing your development through the first few years of your career and ensuring that you are given the necessary support and guidance. Your mentor will also be responsible for ensuring that you will gain experience in a number of different areas. From day one, graduate software engineers will be given the opportunity to become responsible for designing and developing a key part of the product. You will quickly gain experience across the full software development lifecycle from design through coding, testing, and support across a wide range of technologies and languages.\n', 'An international group of colleagues, working on anything from hardware, software, user experience, artificial intelligence, machine learning, audio/video processing, and analytics, mechanical, and industrial design.\n', 'Ava is dedicated to encouraging and sustaining a culture of inclusion. We know that we are able to develop and learn better with a diverse group of people. The experiences, ideas, knowledge, self-expression and talent of our employees form our culture and are instrumental in our success. We are an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to and will not be discriminated against based on age, race, gender, colour, religion, national origin, sexual orientation, gender identity, disability or any other protected category.']",https://uk.indeed.com/viewjob?jk=431452cb5d5f1bdc
35,Junior Android Developer,Octopus Energy,Remote in London,Not Provided,16 days ago,Java C Android Kotlin,"Kraken is the technology behind Octopus Energy.
We invented, designed and built Kraken Technologies to ensure that we had the most innovative, data-centric and customer-focused technology to support our top-class customer service. Kraken Technologies now delivers transformational Energy-Tech to businesses around the world to make the global transition to green energy quicker and more affordable.
We’re now licensing Kraken Technologies to businesses globally. You can read about our partnership wi...","['We’re looking for someone who thrives on solving tough problems. Someone who can challenge those around them, and be challenged, while delivering delightful experiences for our internal and external customers.', ""At Octopus, we're looking for genuinely decent people who are honest and empathetic. Our commitment is to provide equal opportunities, a diverse and inclusive work environment, and fairness for everyone. You are welcome to apply no matter your age, disability, gender, marriage or civil partnership status, pregnancy and maternity status, race, religion or belief, or sexual orientation.""]","['\nKnowledge and experience with Kotlin', '\nPassionate about great app design and user experience', ""\nWondering what the salary for this role is? Just ask us! On a call with one of our recruiters it's something we always cover as we genuinely want to match your experience with the correct salary. The reason why we don't advertise is because we honestly have a degree of flexibility and would never want salary to be a reason why someone doesn't apply to Octopus - what's more important to us is finding the right octofit!"", 'We’re looking for someone who thrives on solving tough problems. Someone who can challenge those around them, and be challenged, while delivering delightful experiences for our internal and external customers.']",https://uk.indeed.com/viewjob?jk=0282a43590531f41
36,Graduate Developer,mkodo Ltd,London,Not Provided,30+ days ago,Java C HTML Android CSS,"KEY SKILLS AND ATTRIBUTES

Demonstrable skill in any programming language
Strong problem-solving skills
Ability to learn new concepts such as Unit Testing, BDD, Clean Code, and Refactoring
Excellent spoken and written English

Nice to have:

Passion for creating experiences in mobile environments

ABOUT THE ROLE

We are recruiting now for highly motivated graduates to join our technical team for the summer 2022 intake of our Evolve programme. As a part of the programme, you will be rotated throu...",[],"['\nPassion for creating experiences in mobile environments', 'During the rotational period, you will be guided and assisted in developing your core skills to specialise in 1-2 of the above disciplines. This is a great opportunity for ambitious and talented graduate software developers to participate in various exciting projects and to gain invaluable experience in the Mobile Software Applications industry.']",https://uk.indeed.com/viewjob?jk=b9050798555cb7d9
37,Junior Software Engineer (London),Echobox,London,Not Provided,30+ days ago,Java C C++ SQL HTML React CSS,"You will work closely with our other developers to help meet the day to day business needs of Echobox. This includes fixing technical problems, responding to customer questions and providing software development assistance to the Data Science team. As the technical team grows you should be strongly motivated to move into a Senior developer role.
Key Responsibilities:
Work with our other developers to help meet the day to day business needs of Echobox.
Be jointly responsible for the maintenance a...",[],"['\nRequired Skills and Experience:', '\nExperience working with React, CSS and HTML5.', '\n1+ years experience working with React, CSS and HTML5', '\nExperience developing software as part of a team, e.g. open source software projects.']",https://uk.indeed.com/viewjob?jk=f22f884a0d810455
38,Software Engineering,"JPMorgan Chase Bank, N.A.",London,Not Provided,2 days ago,C,"As a senior leader in Software Engineering, you'll combine your years of proven expertise with a never-ending quest to create innovative technology through solid engineering practices. You'll lead a highly inspired and inquisitive team of technologists who are already developing and deploying applications to the highest standards. With your deep knowledge of design, analytics, development, coding, testing, and application programming, your team will raise their game even more, meeting your stand...",[],"[""As a senior leader in Software Engineering, you'll combine your years of proven expertise with a never-ending quest to create innovative technology through solid engineering practices. You'll lead a highly inspired and inquisitive team of technologists who are already developing and deploying applications to the highest standards. With your deep knowledge of design, analytics, development, coding, testing, and application programming, your team will raise their game even more, meeting your standards, as well as satisfying both business and functional requirements. Your passion and experience in one or more technology domains will help solve complex and mission critical problems, internally and externally. As a constant learner and early adopter, you're already embracing leading-edge technologies and methodologies; your example encourages others to follow suit."", 'BS/BA degree or equivalent experience', 'Experienced in modern programming languages']",https://uk.indeed.com/viewjob?jk=448d9bb5bc3d32a8
39,Corporate Treasury Strats - Quantitative Analyst/Developer,Goldman Sachs,London EC4A,Not Provided,30+ days ago,Python Java C C++,"MORE ABOUT THIS JOB:

In Finance Engineering, you’ll find an exciting confluence of computer science, finance and mathematics being used to solve for what our shareholders would like from us – a high return for the right risk taken.

The Corporate Treasury Strats team is looking for world class quantitative programmers to work closely with Corporate Treasury partners to employ quantitative analytics to drive optimizations of firm liquidity, cash and collateral management, funds transfer pricing ...","['\nThe Corporate Treasury Strats team is looking for world class quantitative programmers to work closely with Corporate Treasury partners to employ quantitative analytics to drive optimizations of firm liquidity, cash and collateral management, funds transfer pricing and trade execution strategies. This is an integrated group which both explores new ideas for optimizing the funding management of the firm and also executes trading strategies, all in one team.', '\nSkills and experience we are looking for:']","['\nCorporate Treasury Strats welcomes applicants with a Masters or a PhD in financial engineering/financial math; quantitative sciences, e.g. physics, statistics, applied math or other quantitative discipline; or relevant professional experience. Strong analytical skills, mathematical fluency, and programming abilities are required.', '\nSkills and experience we are looking for:', '\nStrong software design experience', '\nExperience with financial markets and assets, with a preference for vanilla interest rate derivative pricing, bond products pricing, curve construction, hedging strategies and risk management.', '\nExcellent communication skills, including experience speaking to technical and business audiences and working globally across multiple regions.', '\nUp to 10 years of relevant, continuous experience.', '\nCredit or mortgages experience is desired but not required.']",https://uk.indeed.com/viewjob?jk=242fa45741764391
40,Graduate Software Developer,Institutional Shareholder Services,London,Not Provided,30+ days ago,Java C HTML .NET CSS,"Market Intelligence (MI) provides critical data and insight to global asset managers, insurance companies and distributors to help them make informed, strategic decisions to manage and grow their business. Through its combination of proprietary and integrated datasets, in-depth global research and trusted executive engagement, ISS MI delivers solutions for market sizing, competitor benchmarking, product strategy and opportunity identification across a wide range of financial products including f...",[],[],https://uk.indeed.com/viewjob?jk=0cba5ca29fa5465d
41,Product Developer - Chase,"JPMorgan Chase Bank, N.A.",London,Not Provided,8 days ago,C,"At Chase, we put our customers first. The world is always changing so we need Product Managers who are continuously adapting and excited to work on products that affect millions of people every day.
In this role, you will work cross-functionally to guide products from conception to launch by connecting the technical and business worlds. We are looking for extremely entrepreneurial Product Managers who value moving quickly. As a Product Manager at Chase, you could be working on new technologies, ...","['In this role, you will work cross-functionally to guide products from conception to launch by connecting the technical and business worlds. We are looking for extremely entrepreneurial Product Managers who value moving quickly. As a Product Manager at Chase, you could be working on new technologies, platforms, consumer facing products, and/or enterprise systems. The end goal will be to match you with the team that best aligns with your interests, experience, and where you will have the most impact.\n']","['In this role, you will work cross-functionally to guide products from conception to launch by connecting the technical and business worlds. We are looking for extremely entrepreneurial Product Managers who value moving quickly. As a Product Manager at Chase, you could be working on new technologies, platforms, consumer facing products, and/or enterprise systems. The end goal will be to match you with the team that best aligns with your interests, experience, and where you will have the most impact.\n', 'Experience building and shipping applications or software of features/products that encompass an end-to-end experience within a large-scale, ambiguous domain.\n', 'Experience of going through a full product lifecycle, integrating customer feedback into product requirements, driving prioritization and pre/post-launch execution.\n', 'Experience working in an agile environment.\n', 'Experience driving projects with cross-functional colleagues and stakeholders.\n', 'Experience building and growing strong consumer products at scale.\n', 'Experience developing banking products, technologies and platforms.\n', 'Experience at a technology company or start-up.\n']",https://uk.indeed.com/viewjob?jk=59b956a0ec433901
42,Student Intern — Information Developer Associate,Siemens Industry Software Limited,London,Not Provided,30+ days ago,C,"Siemens Digital Industries is an innovation and technology leader in industrial automation and digitalization. In close collaboration with our partners and customers, we are the driving force for the digital transformation in the discrete and process industries.
Within Siemens Digital Industries Software, Simulation and Test Solutions (STS) has two open positions for 12-month interns within the Documentation team for Simcenter STAR-CCM+ and related Simcenter products. These internships are well ...",[],"['Joining as a 12-month intern provides you with an excellent opportunity to experience technical writing at a high level given the breadth of physics that the Simcenter products can model.\n', '\nExperience Level:']",https://uk.indeed.com/viewjob?jk=68395a6d9720172c
43,Junior Developer,Synapri,Hybrid remote in London,Not Provided,16 days ago,Java C HTML .NET Azure CSS,"Our client are a private equity firm based in London. They are looking for a junior developer to join the team on a permanent basis. The organisation operate on a hybrid working model and will require someone to commute to the London based office 3 times a week.
The role will allow you to develop and further your knowledge in MS 365 and understand how other technologies interact utilising D365, Power Apps, Azure Functions, Power BI and Azure B2C to enhance their platform.
The responsibilities of...",['Our client are a private equity firm based in London. They are looking for a junior developer to join the team on a permanent basis. The organisation operate on a hybrid working model and will require someone to commute to the London based office 3 times a week.'],"['Experience with Microsoft business applications, including Dynamics 365 / Power Platform / SharePoint']",https://uk.indeed.com/viewjob?jk=0bd7af218b6efed7
44,Full Stack Developer,Capgemini,London,Not Provided,2 days ago,C SQL,"About Capgemini
Capgemini is a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. The Group is guided everyday by its purpose of unleashing human energy through technology for an inclusive and sustainable future. It is a responsible and diverse organization of over 300,000 team members in nearly 50 countries. With its strong 50-year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire...",[],"['\nGood experience across a range of development projects and technology stacks', '\nReal work experience with TDD BDD development and MDD DDD design.', '\nExperience of swagger OAS and or RAML OpenAPI specification', '\nSome experience of non SQL semi-structured databases especially graph DBS']",https://uk.indeed.com/viewjob?jk=403e271644b584ae
45,Ulysses System Developer Administrator,Lewisham and Greenwich NHS Trust,London SE13,Not Provided,1 day ago,C,"To support the Trust in developing, maintaining and utilising the Ulysses Risk Management system to fulfil the requirements of governance processes and the information strategy within the Organisation by:

Maintaining the Ulysses System
Support full utilisation of the Ulysses system by the number of team that operate on the system across the Trust
Provide and develop data analysis tools
Develop the system in liaison with the Ulysses software provider to meet changing Organisational needs
Work in...",[],"['\nThe post holder will report to the Head of Patient Safety & Experience and will sit within the Patient Safety Team.\n', 'System management experience including change control processes and overall system governance including project management.', 'Work with the Head of Patient Safety and Experience to develop service user digital engagement forums in preparation for the patient facing modules.', 'Work with the Head of Patient Safety and Experience to build the digital governance boards bespoke to clinical areas.']",https://uk.indeed.com/viewjob?jk=3ac5ecc60e9eabca
46,Software Developer,Softwire,London,Not Provided,4 days ago,,Software Developer...,[],[],https://uk.indeed.com/viewjob?jk=68616b8d3a69ff0c
47,Microservices Developer,Virgin Media,London,Not Provided,7 days ago,Java C Kubernetes,"Function:
Development
Closing Date:
08/04/2022
We have an ambitious Digital Strategy and are quickly building scalable and highly reliable software systems - Cloud first, API first, Microservices with first class DevSecOps engineering practices - and have a highly matrixed delivery model passionate about shipping fast and learning quickly.
To succeed, we need to build integrations for feed our next-gen customer journeys and are looking for developers with a strong background in integration and t...","['To succeed, we need to build integrations for feed our next-gen customer journeys and are looking for developers with a strong background in integration and the ability to design, build, and run applications.\n', ""Other stuff we're looking for:\n""]","['Proven experience developing Microservices in Java or GoLang\n', 'Experience with Microservices Design Patterns and Architecture (must have demonstrable experience of build/run/deploy within a containerised environment & side car concepts)\n', 'Cloud API Gateway experience (E.g. APIGee, Endpoints, Mulesoft)\n']",https://uk.indeed.com/viewjob?jk=c8ca8b56e6a0e0fb
48,SWE - Intern (Software Release Engineering),Apple,London,Not Provided,30+ days ago,Python C,"Summary
Posted: Feb 9, 2022
Weekly Hours: 35
Role Number:200333403
Apple Software Build Engineers are at the core of the Apple Software Development Process in delivering Apple operating systems and applications to Apple customers. The internship role would provide intern the opportunity to work on an aspect of the software delivery pipeline, developing software automation that improve our daily operations, and deploy automation solutions into production.
Key Qualifications
Programming skills to ...",[],['Education & Experience'],https://uk.indeed.com/viewjob?jk=558e0ea2bd9501cb
49,SQL Developer,Link Group,London EC2V,Not Provided,1 day ago,C SQL Azure,"SQL Developer
London
Monday - Friday
£ competitive + benefits
Are you looking to develop your career as a SQL Developer?
As a SQL Developer you’ll work closely with the wider group and clients. This role supports the delivery of technical solutions to internal and external stakeholders.
We want you to apply your strong SQL skills and relational database knowledge to build, monitor and maintain tailored data and analytics solutions for our highly appreciative clients. This is a broad-ranging role...",['What we’re looking for:\n'],"['Link Group connects millions of people with their assets including equities, pension and superannuation, investments, property and other financial assets. We do this by partnering with thousands of financial market participants to deliver services, solutions and technology platforms that enhance the user experience and make scaled administration simple. We help manage regulatory complexity, improve data management and provide tools to help people connect to their assets, leveraging analysis, insight and technology. Our core businesses are complemented by our expertise in digital solutions and data analytics and enable us to provide a complete service to our global network of clients and partners.\n', 'Ideally you have 3 or more years of experience with SQL Server, excellent communication skills and enjoy immersing yourself in a varied environment\n', 'Experience with Micrososft Cloud stack\n', 'Experience developing ETL data integration, engineering and workflow processes with large data sets (SSIS, PowerShell or similar tools/languages in ETL and production environments)\n', 'Experience in Azure would be highly advantageous\n', 'Experience in dashboard tools such as PowerBI and/or Tableau.\n', 'Link Group connects millions of people with their assets including equities, pension and superannuation, investments, property and other financial assets. We do this by partnering with thousands of financial market participants to deliver services, solutions and technology platforms that enhance the user experience and make scaled administration simple. We help manage regulatory complexity, improve data management and provide tools to help people connect to their assets, leveraging analysis, insight and technology. Our core businesses are complemented by our expertise in digital solutions and data analytics and enable us to provide a complete service to our global network of clients and partners.\n', 'You’ll get the chance to follow your chosen career path anywhere in Link Group. You’ll be joining a network of 7,000 experienced, innovative and dedicated individuals across multiple teams and countries. There are countless opportunities to learn new skills and develop in your career and we’ll provide the support you need to do just that.\n']",https://uk.indeed.com/viewjob?jk=1d94f140aa69666d
